local-authority-discovery	local-authority
MIK	local-authority-eng:MIK
SRY-UE	local-authority-eng:MOV
MRT	local-authority-eng:MRT
NTT-UF	local-authority-eng:MSF
SFK-UE	local-authority-eng:MSK
WSX-UG	local-authority-eng:MSX
NBL	local-authority-eng:NBL
DEV-UE	local-authority-eng:NDE
DOR-UE	local-authority-eng:NDO
STS-UE	local-authority-eng:NED
HAM-UJ	local-authority-eng:NEF
NEL	local-authority-eng:NEL
NET	local-authority-eng:NET
NFK	local-authority-eng:NFK
NGM	local-authority-eng:NGM
NLN	local-authority-eng:NLN
NTH-UF	local-authority-eng:NOB
NFK-UG	local-authority-eng:NOC
DBY-UJ	local-authority-eng:NOE
HRT-UF	local-authority-eng:NOH
LIN-UE	local-authority-eng:NOK
NFK-UF	local-authority-eng:NON
NSM	local-authority-eng:NSM
NTT-UG	local-authority-eng:NSW
NTH	local-authority-eng:NTH
NTT	local-authority-eng:NTT
NTY	local-authority-eng:NTY
WAR-UC	local-authority-eng:NUA
WAR-UB	local-authority-eng:NWK
LEC-UH	local-authority-eng:NWL
NWM	local-authority-eng:NWM
NYK	local-authority-eng:NYK
LEC-UJ	local-authority-eng:OAA
OLD	local-authority-eng:OLD
OXF-UC	local-authority-eng:OXC
OXF	local-authority-eng:OXF
LAN-UJ	local-authority-eng:PEB
PLY	local-authority-eng:PLY
POL	local-authority-eng:POL
POR	local-authority-eng:POR
LAN-UK	local-authority-eng:PRC
PTE	local-authority-eng:PTE
DOR-UG	local-authority-eng:PUD
RCC	local-authority-eng:RCC
ESS-UL	local-authority-eng:RCF
NTT-UJ	local-authority-eng:RUC
RCH	local-authority-eng:RCH
RDB	local-authority-eng:RDB
RDG	local-authority-eng:RDG
SRY-UF	local-authority-eng:REA
WOR-UD	local-authority-eng:REB
WAR-UD	local-authority-eng:RGB
RIC	local-authority-eng:RIC
NYK-UE	local-authority-eng:RIH
LAN-UL	local-authority-eng:RIV
LAN-UM	local-authority-eng:ROB
ROT	local-authority-eng:ROT
HAM-UL	local-authority-eng:RSM
ESX-UG	local-authority-eng:RTR
RUT	local-authority-eng:RUT
NYK-UF	local-authority-eng:RYD
SRY-UG	local-authority-eng:RYM
HRT-UG	local-authority-eng:SAC
SAW	local-authority-eng:SAW
NYK-UH	local-authority-eng:SBY
NYK-UG	local-authority-eng:SCB
SFK-UF	local-authority-eng:SDM
SFK	local-authority-eng:SFK
SFT	local-authority-eng:SFT
SGC	local-authority-eng:SGC
SOM-UC	local-authority-eng:SGM
DEV-UG	local-authority-eng:SHA
KEN-UL	local-authority-eng:SHD
SHF	local-authority-eng:SHF
SOL	local-authority-eng:SHL
SHN	local-authority-eng:SHN
LIN-UF	local-authority-eng:SHO
SHR	local-authority-eng:SHR
SKP	local-authority-eng:SKP
CMA-UG	local-authority-eng:SLA
SLF	local-authority-eng:SLF
SLG	local-authority-eng:SLG
SND	local-authority-eng:SND
NTH-UG	local-authority-eng:SNH
NFK-UH	local-authority-eng:SNK
WAR-UE	local-authority-eng:SOA
BKM-UE	local-authority-eng:SOB
CAM-UG	local-authority-eng:SOC
DBY-UK	local-authority-eng:SOD
LIN-UG	local-authority-eng:SOK
SOM	local-authority-eng:SOM
LAN-UN	local-authority-eng:SOR
STE	local-authority-eng:SOT
OXF-UD	local-authority-eng:SOX
SRY-UH	local-authority-eng:SPB
GLS-UF	local-authority-eng:SRD
SRY	local-authority-eng:SRY
SOS	local-authority-eng:SSE
SOM-UD	local-authority-eng:SSM
STS-UF	local-authority-eng:SST
STS-UG	local-authority-eng:STA
STH	local-authority-eng:STH
STS-UH	local-authority-eng:STM
STN	local-authority-eng:STN
STS	local-authority-eng:STS
STT	local-authority-eng:STT
HRT-UH	local-authority-eng:STV
STY	local-authority-eng:STY
SFK-UG	local-authority-eng:SUC
SRY-UJ	local-authority-eng:SUH
KEN-UK	local-authority-eng:SVK
KEN-UM	local-authority-eng:SWB
SWD	local-authority-eng:SWD
SWK	local-authority-eng:SWK
STS-UK	local-authority-eng:TAB
TAM	local-authority-eng:TAM
DEV-UH	local-authority-eng:TBG
SOM-UE	local-authority-eng:TDE
SRY-UK	local-authority-eng:TDG
ESS-UN	local-authority-eng:TDR
GLS-UG	local-authority-eng:TEB
HAM-UN	local-authority-eng:TEV
TFW	local-authority-eng:TFW
KEN-UN	local-authority-eng:THD
KEN-UP	local-authority-eng:TOA
TOB	local-authority-eng:TOB
DEV-UK	local-authority-eng:TOD
TRF	local-authority-eng:TRF
HRT-UJ	local-authority-eng:TRR
THR	local-authority-eng:TUK
KEN-UQ	local-authority-eng:TUW
TWH	local-authority-eng:TWH
ESS-UQ	local-authority-eng:UTD
OXF-UE	local-authority-eng:VAO
WBK	local-authority-eng:WBK
DEV-UL	local-authority-eng:WDE
DOR-UH	local-authority-eng:WDO
NTH-UH	local-authority-eng:WEB
HRT-UL	local-authority-eng:WEH
OXF-UF	local-authority-eng:WEO
SOM-UF	local-authority-eng:WES
WFT	local-authority-eng:WFT
WGN	local-authority-eng:WGN
HAM-UP	local-authority-eng:WIC
WIL	local-authority-eng:WIL
WKF	local-authority-eng:WKF
SRY-UM	local-authority-eng:WKG
WAR	local-authority-eng:WKS
LAN-UP	local-authority-eng:WLA
