street-custodian	bbox
2315	[-2.34,53.73,-2.14,53.82]
2320	[-2.82,53.60,-2.51,53.75]
2325	[-3.06,53.73,-2.78,53.86]
2330	[-2.46,53.71,-2.31,53.81]
2335	[-2.92,53.92,-2.48,54.21]
2340	[-2.33,53.81,-2.05,53.95]
2345	[-2.82,53.75,-2.61,53.90]
2350	[-2.64,53.76,-2.19,54.03]
2355	[-2.38,53.62,-2.15,53.75]
2360	[-2.86,53.67,-2.55,53.78]
2365	[-3.05,53.48,-2.69,53.73]
2370	[-3.06,53.82,-2.63,53.98]
2372	[-2.56,53.62,-2.37,53.78]
2373	[-3.06,53.77,-2.99,53.88]
2405	[-1.34,52.49,-1.07,52.66]
2410	[-1.33,52.66,-0.96,52.82]
2415	[-1.30,52.40,-0.72,52.68]
2420	[-1.56,52.50,-1.20,52.71]
2430	[-1.05,52.65,-0.67,52.97]
2435	[-1.59,52.66,-1.26,52.87]
2440	[-1.14,52.56,-1.04,52.62]
2465	[-1.21,52.58,-1.05,52.69]
2470	[-0.82,52.53,-0.43,52.76]
2505	[-0.24,52.87,0.19,53.08]
2510	[-0.32,53.00,0.35,53.52]
2515	[-0.62,53.19,-0.49,53.25]
2520	[-0.76,52.90,-0.20,53.25]
2525	[-0.31,52.65,0.26,52.92]
2530	[-0.80,52.64,-0.24,53.05]
2535	[-0.82,53.18,-0.15,53.60]
2605	[0.53,52.37,1.11,52.81]
2610	[1.00,52.56,1.66,52.83]
2615	[1.55,52.53,1.74,52.74]
2620	[0.72,52.68,1.66,52.98]
2625	[1.20,52.60,1.34,52.68]
2630	[0.96,52.36,1.67,52.68]
2635	[0.16,52.45,0.82,52.99]
2705	[-2.56,53.86,-1.82,54.25]
2710	[-1.57,54.39,-1.46,54.50]
2715	[-1.90,53.89,-1.18,54.25]
2720	[-2.27,54.39,-1.48,54.54]
2725	[-1.24,53.98,-0.43,54.39]
2730	[-1.05,54.13,-0.23,54.56]
2735	[-1.35,53.63,-0.90,53.93]
2741	[-1.22,53.88,-0.92,54.05]
2805	[-0.79,52.46,-0.60,52.54]
2810	[-1.28,52.14,-0.79,52.47]
2815	[-0.67,52.26,-0.35,52.64]
2820	[-0.91,52.35,-0.62,52.52]
2825	[-0.97,52.19,-0.80,52.28]
2830	[-1.32,51.98,-0.71,52.26]
2835	[-0.82,52.19,-0.62,52.36]
2935	[-2.64,54.80,-1.53,55.81]
3005	[-1.34,53.01,-1.18,53.17]
3010	[-1.21,53.20,-0.75,53.49]
3015	[-1.33,52.90,-1.19,53.05]
3020	[-1.23,52.95,-1.02,53.10]
3025	[-1.26,53.12,-1.10,53.23]
3030	[-1.17,52.96,-0.67,53.26]
3040	[-1.27,52.79,-0.82,53.02]
3060	[-1.25,52.89,-1.09,53.02]
3105	[-1.52,51.79,-1.05,52.17]
3110	[-1.30,51.71,-1.18,51.80]
3115	[-1.29,51.46,-0.87,51.81]
3120	[-1.69,51.53,-1.21,51.79]
3125	[-1.70,51.69,-1.30,51.99]
3240	[-2.66,52.62,-2.32,52.83]
3245	[-3.23,52.31,-2.23,53.00]
3305	[-2.84,51.06,-2.25,51.32]
3310	[-3.20,51.04,-2.71,51.33]
3315	[-3.41,50.89,-2.89,51.11]
3320	[-3.83,51.01,-3.09,51.23]
3325	[-3.09,50.83,-2.33,51.14]
3405	[-2.05,52.64,-1.91,52.77]
3410	[-2.03,52.73,-1.59,53.04]
3415	[-1.96,52.59,-1.59,52.80]
3420	[-2.47,52.88,-2.18,53.12]
3425	[-2.41,52.72,-1.94,52.98]
3430	[-2.32,52.43,-1.99,52.78]
